#    data from: http://www.heweather.com/documents/cn-city-list
#
#        #!/usr/bin/env python
#        # -*- coding: utf-8 -*-
#
#        import itertools
#        import pypinyin
#        from pypinyin import pinyin
#
#
#        with open('city.data') as f:
#            for line in f:
#                line = line.strip().decode('utf-8')
#                (_id, county, ccounty, city, province) = line.split(' ')
#                k = pinyin(ccounty, style=pypinyin.NORMAL, heteronym=True)
#                abbr = None
#                for t in itertools.product(*k):
#                    py = "".join(t)
#                    if py == county:
#                        abbr = "".join([x[0] for x in t])
#                        break
#                abbr = (abbr is None and ['---'] or [abbr])[0]
#
#                data = _id, abbr, county, ccounty, city, province #                print " ".join(data).encode('utf-8')
CN101080907 syq suyouqi 苏右旗 锡林郭勒 内蒙古
CN101080908 zrh zhurihe 朱日和 锡林郭勒 内蒙古
CN101080909 dwq dongwuqi 东乌旗 锡林郭勒 内蒙古
CN101080910 xwq xiwuqi 西乌旗 锡林郭勒 内蒙古
CN101080911 tps taipusi 太仆寺 锡林郭勒 内蒙古
CN101080912 xhq xianghuangqi 镶黄旗 锡林郭勒 内蒙古
CN101080913 zxbq zhengxiangbaiqi 正镶白旗 锡林郭勒 内蒙古
CN101080914 zlq zhenglanqi 正蓝旗 锡林郭勒 内蒙古
CN101080915 dl duolun 多伦 锡林郭勒 内蒙古
CN101080916 bkt boketu 博克图 锡林郭勒 内蒙古
CN101080917 wlg wulagai 乌拉盖 锡林郭勒 内蒙古
CN101081001 hle hailaer 海拉尔 呼伦贝尔 内蒙古
CN101081002 xeg xiaoergou 小二沟 呼伦贝尔 内蒙古
CN101081003 arq arongqi 阿荣旗 呼伦贝尔 内蒙古
CN101081004 mldw molidawa 莫力达瓦 呼伦贝尔 内蒙古
CN101081005 elcq elunchunqi 鄂伦春旗 呼伦贝尔 内蒙古
CN101081006 ewkq ewenkeqi 鄂温克旗 呼伦贝尔 内蒙古
CN101081007 cq chenqi 陈旗 呼伦贝尔 内蒙古
CN101081008 xzq xinzuoqi 新左旗 呼伦贝尔 内蒙古
CN101081009 xyq xinyouqi 新右旗 呼伦贝尔 内蒙古
CN101081010 mzl manzhouli 满洲里 呼伦贝尔 内蒙古
CN101081011 yks yakeshi 牙克石 呼伦贝尔 内蒙古
CN101081012 zlt zhalantun 扎兰屯 呼伦贝尔 内蒙古
CN101081014 eegn eerguna 额尔古纳 呼伦贝尔 内蒙古
CN101081015 gh genhe 根河 呼伦贝尔 内蒙古
CN101081016 tlh tulihe 图里河 呼伦贝尔 内蒙古
CN101081101 wlht wulanhaote 乌兰浩特 兴安盟 内蒙古
CN101081102 aes aershan 阿尔山 兴安盟 内蒙古
CN101081103 kyzq keyouzhongqi 科右中旗 兴安盟 内蒙古
CN101081104 hel huerle 胡尔勒 兴安盟 内蒙古
CN101081105 zlt zhanlaite 扎赉特 兴安盟 内蒙古
CN101081106 sl suolun 索伦 兴安盟 内蒙古
CN101081107 tq tuquan 突泉 兴安盟 内蒙古
CN101081108 hlgl huolinguole 霍林郭勒 通辽 内蒙古
CN101081109 kyqq keyouqianqi 科右前旗 兴安盟 内蒙古
CN101081201 azq azuoqi 阿左旗 阿拉善盟 内蒙古
CN101081202 ayq ayouqi 阿右旗 阿拉善盟 内蒙古
CN101081203 ejn ejina 额济纳 阿拉善盟 内蒙古
CN101081204 gzh guaizihu,guanzihu 拐子湖 阿拉善盟 内蒙古
CN101081205 jlt jilantai 吉兰太 阿拉善盟 内蒙古
CN101081206 xlgl xilingaole 锡林高勒 阿拉善盟 内蒙古
CN101081207 tdh toudaohu 头道湖 阿拉善盟 内蒙古
CN101081208 zqz zhongquanzi 中泉子 阿拉善盟 内蒙古
CN101081209 neg nuoergong 诺尔公 阿拉善盟 内蒙古
CN101081210 ybl yabulai 雅布赖 阿拉善盟 内蒙古
CN101081211 wst wusitai 乌斯泰 阿拉善盟 内蒙古
CN101081212 ljt luanjingtan 孪井滩 阿拉善盟 内蒙古
CN101090101 sjz shijiazhuang 石家庄 石家庄 河北
CN101090102 jx jingxing 井陉 石家庄 河北
CN101090103 zd zhengding 正定 石家庄 河北
CN101090104 lc luancheng 栾城 石家庄 河北
CN101090105 xt xingtang 行唐 石家庄 河北
CN101090106 ls lingshou 灵寿 石家庄 河北
CN101090107 gy gaoyi 高邑 石家庄 河北
CN101090108 sz shenze 深泽 石家庄 河北
CN101090109 zh zanhuang 赞皇 石家庄 河北
CN101090110 wj wuji 无极 石家庄 河北
CN101090111 ps pingshan 平山 石家庄 河北
CN101090112 ys yuanshi 元氏 石家庄 河北
CN101090113 zx zhaoxian 赵县 石家庄 河北
CN101090114 xj xinji 辛集 石家庄 河北
CN101090115 gc gaocheng 藁城 石家庄 河北
CN101090116 jz jinzhou 晋州 石家庄 河北
CN101090117 xl xinle 新乐 石家庄 河北
CN101090118 lq luquan 鹿泉 石家庄 河北
CN101090201 bd baoding 保定 保定 河北
CN101090202 mc mancheng 满城 保定 河北
CN101090203 fp fuping 阜平 保定 河北
CN101090204 xs xushui 徐水 保定 河北
CN101090205 tx tangxian 唐县 保定 河北
CN101090206 gy gaoyang 高阳 保定 河北
CN101090207 rc rongcheng 容城 保定 河北
CN101090209 ly laiyuan 涞源 保定 河北
CN101090210 wd wangdu 望都 保定 河北
CN101090211 ax anxin 安新 保定 河北
CN101090212 yx yixian 易县 保定 河北
CN101090214 qy quyang 曲阳 保定 河北
CN101090215 lx lixian 蠡县 保定 河北
CN101090216 sp shunping 顺平 保定 河北
CN101090217 xx xiongxian 雄县 保定 河北
CN101090218 zz zhuozhou 涿州 保定 河北
CN101090219 dz dingzhou 定州 保定 河北
CN101090220 ag anguo 安国 保定 河北
CN101090221 gbd gaobeidian 高碑店 保定 河北
